Issue Type,Issue key,Issue id,Description,Custom field (Serial Number),Custom field (Symptom),Custom field (Symptom),Custom field (Disposition),Custom field (SKU(s)),Custom field (Region),Custom field (Base SKU),Custom field (Root Cause),Custom field (Corrective Action),Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments
Bug,PCOPT-150,239044,"HD100 ECN With GB 2nd source PCBA BRD1165_Outlet Air Temperature Test_1/3 unit, outlet air 105.8C out of PC 90C-105C.
 !image-2021-11-20-22-35-16-421.png|thumbnail! ",,Performance,,,,,HD100,,,"Nov/29/2021 4:20 PM;5d7913018b0e290c45aa2dd9;[~accountid:605be3516190aa0069d2c38e]  Our team suggests checking with KCL EOL testing - if the outlet temperature is out of spec, the unit should be sent back in line and re-calibrated until it meets PS. ",Dec/20/2021 3:38 AM;5bd81045bd2c4c2de48b76b3;[~accountid:603ebe256a01a30069f7304d] Same issue as PCOPT-124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-149,238816,"HD100 ECN With GB 2nd Source PCBA BRD1165 EB4_LVT test_1/3 unit (#A194), during the test,the red ""RESET"" button of plug cut off automatically ,and the yellow ""TEST"" button of plug lost function permanently. The unit still can be started and run with normal functions.",,Other,,,,,HD100,,,Nov/23/2021 12:51 AM;605be3516190aa0069d2c38e;[~accountid:5fc6eb47facfd6007634e0cf] please check the plug of sample and analyze the cause .,"Nov/29/2021 4:17 PM;5d7913018b0e290c45aa2dd9;[~accountid:605be3516190aa0069d2c38e]  Dodd, our team suggests getting this issue handled by a power cord supplier as the EE team does not own the power plug design. The power plug is an “off-shelf” product. ",Dec/12/2021 9:38 PM;605be3516190aa0069d2c38e;added the analysis report from supplier. see attached.,Dec/20/2021 3:50 AM;5bd81045bd2c4c2de48b76b3;[~accountid:603ebe256a01a30069f7304d] Can you review and close the ticket?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-148,238783,"HD100 ECN GB 2nd Source PCBA BRD1165 EB4_ESD Test_1/3 unit (#A196), When ESD pulses are applied to the Flow_Level_3 indicator ( shown as picture 1 ) of the unit, the unit stops operating with the Heat_Level indicators ( level 1&2 ) twinkling all the time.The unit can restart to operate about 3 seconds , and then the unit stops operating with the Heat_Level indicators ( level 1&2 )  twinkling together all the time. The unit is damaged permanently.( note: the power plug is not tested )
 !image-2021-11-19-09-33-59-812.png|thumbnail! ",,Functionality,,,,,HD100,,,"Nov/30/2021 9:32 PM;5fc6eb47facfd6007634e0cf;[~accountid:5bd81045bd2c4c2de48b76b3] [~accountid:605be3516190aa0069d2c38e] Please see attached Email, EE retest the unit and proved that PCBA no problem.",Dec/20/2021 3:33 AM;5bd81045bd2c4c2de48b76b3;[~accountid:603ebe256a01a30069f7304d] Can you review attached email and close the ticket?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-147,232651,"EB3 1/2 #A001 The unit didn't work in 77th cycle(38hours 23minutes). After teardown ,found  the power cord disconnected.

!image-2021-10-22-12-45-51-728.png|width=83.33333333333333%!

 ",HD100,Functionality,,,,,HD100,"ALCI blades are affected by too much force and shrinks inward, and final impact the red bottom can't be reset well					",Check power cord ALCI plug whether can meet drop test,"Oct/22/2021 1:12 AM;5be0519a741c7e2e7e9dae7b;[~accountid:5d5cf59ceb84cb0cfcc8ca6d] , Kindly please get this defective sample and check it together with supplier.",Oct/29/2021 5:06 AM;5d5cf59ceb84cb0cfcc8ca6d;Updated the analysis report for review [~accountid:5be0519a741c7e2e7e9dae7b] [~accountid:6166916772f6970069d12923] [~accountid:5d546aa43f5e050c17177d02] ,"Nov/04/2021 1:16 AM;5be0519a741c7e2e7e9dae7b;[~accountid:5d546aa43f5e050c17177d02] , as per the below latest 8D report, ALCI plug pin can withstand force of 20 lbf (89 N). So, can double check power cord ALCI plug whether can meet drop test?

[^ALCI不良分析报告20211028(不通电).xls]

","Nov/04/2021 1:48 AM;5d546aa43f5e050c17177d02;[~accountid:5be0519a741c7e2e7e9dae7b] we did many drops from EB0 during drop test and ABR test and never found this failure, can you check the sample if has any different or did supplier check the blade pull test with same batch of sample?","Nov/04/2021 1:53 AM;5be0519a741c7e2e7e9dae7b;[~accountid:5d5cf59ceb84cb0cfcc8ca6d] , can you double check the supplier whether they have the blade pull test with this batch of sample?","Nov/04/2021 5:55 AM;5be0519a741c7e2e7e9dae7b;[~accountid:5d5cf59ceb84cb0cfcc8ca6d] , I just got drop test report of power cord from supplier, but I don’t know whether this is same as this batch. Can you double check it?

[^ALCI产品跌落试验.pdf]

","Nov/05/2021 1:53 AM;5d5cf59ceb84cb0cfcc8ca6d;[~accountid:5be0519a741c7e2e7e9dae7b] Based on Longway lab report date, and also communicated with Longway, suspect the sample is from WK36. 

Further update WK3821 drop test result. 

[^（贸联）ALCI产品跌落试验（20211105）.pdf]

","Nov/05/2021 5:18 AM;5be0519a741c7e2e7e9dae7b;[~accountid:603ebe256a01a30069f7304d] , for this, I think this is single case for our test. How about your comments? ",Sep/05/2022 4:02 AM;5bd81045bd2c4c2de48b76b3;[~accountid:6166916772f6970069d12923] Can you please share the latest ABR result? Is same issue existing?,"Nov/02/2022 2:09 AM;6166916772f6970069d12923;[~accountid:5bd81045bd2c4c2de48b76b3] No this issue during recently ABR test_HD100 FCC Improvement, ECN20220428-082728",Nov/02/2022 2:11 AM;5bd81045bd2c4c2de48b76b3;[~accountid:60abd10e411c220068270827] Can you please review and close the tickit based on the latest result?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-146,230114,"HD100 ECN GB 2nd source PCBA EB3 (SW V6.8)_ABR test_1/2 unit (#A001), unit out of work with middle heat light twinkling @11th cycle, after updating the SW, still occurred this failure @15th, 16th, 19th and 20th cycles during ABR testing.

!视频-20211011-005606-0d7f11c3 (a6f884da-b163-4015-aa77-a3d087a7d4fc).mp4|width=364,height=640!",,Functionality,,,,,HD100," FW bug, FW logic error","Change the BLDC doubling frequency algorithm during start-up period to avoid startup failure.
Add motor restart function. ",Oct/13/2021 3:39 AM;605be3516190aa0069d2c38e;[~accountid:5fc6eb47facfd6007634e0cf] please give your explaining for updated software.,Oct/21/2021 3:30 AM;5fc6eb47facfd6007634e0cf;Attached the FW change record.,Oct/22/2021 2:57 PM;603ebe256a01a30069f7304d;[~accountid:5fc6eb47facfd6007634e0cf] [~accountid:5d7913018b0e290c45aa2dd9] Do we have a date for the verification of this updated FW?,"Nov/15/2021 11:19 AM;5d7913018b0e290c45aa2dd9;[~accountid:603ebe256a01a30069f7304d] , this issue was resolved by firmware update, Wesoft / DQTP testing verified the updated FW. [~accountid:5b523c3a628cd32ca1bee0ea] , suggest to close as this design is fully verified and being released for MP. ",Nov/18/2021 4:26 PM;5b523c3a628cd32ca1bee0ea;[~accountid:5d546aa43f5e050c17177d02] can you please attach the test data that shows this was solved with the new updated firmware? Just showing that we passed ABR without demonstrating this failure would be OK.,"Nov/29/2021 7:28 AM;5d546aa43f5e050c17177d02;Attached the pre-MP ABR test report, no this failure found

[^HD100 ECN With GB PCBA Pre-MP ABR Test Report.xlsx]

","Nov/30/2021 12:20 AM;5be0519a741c7e2e7e9dae7b;[~accountid:5b523c3a628cd32ca1bee0ea] , based on the below update, can you close this ticket?",Jul/05/2022 6:13 AM;5bd81045bd2c4c2de48b76b3;[~accountid:5b523c3a628cd32ca1bee0ea] Can you please close the ticket as no this issue found in MP with new SW?,Jul/11/2022 9:26 AM;5ece92c0c761b10c33e0989d;closing based off the pre-MP ABR and comments that this issue has not been seen in MP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA/VE,PCOPT-145,228936,"Kapton tape and thermal grease are being used on the motor power FETs (CS14N25A4R) . Kapton tape will not dissipate the heat generated by the FETs because it is an thermal insulator.


!image-20211005-171403.png|width=353,height=419!",,,,,,,HD100,,,"Nov/19/2021 10:23 PM;5cbe1c2dcf9b780e6a39fd1e;This ticket was opened because we have components we possibly don’t need.  Kapton tape will not dissipate heat. If we do need to dissipate heat on these components we need an alternate solution. If not, we need to remove them ideally for a cost savings ","Nov/22/2021 4:11 AM;5bd81045bd2c4c2de48b76b3;[~accountid:5cbe1c2dcf9b780e6a39fd1e] Agree with you that the Kapton tape will affect heat dissipation. But the tap is helpful to pass ESD test and can’t be removed. Suzhou lab had NTT test for the MOSFETs, not failure found. [~accountid:5b523c3a628cd32ca1bee0ea]","Nov/22/2021 1:11 PM;5cbe1c2dcf9b780e6a39fd1e; [~accountid:5bd81045bd2c4c2de48b76b3] , have we completed ESD both with and without the tape? If yes, please share the test results. I don’t fully understand how the kapton tape would help dissipate static electricity on the FETs if there is thermal grease in between, unless this thermal grease is also static dissipative. ",Nov/23/2021 1:51 PM;603ebe256a01a30069f7304d;[~accountid:5d546aa43f5e050c17177d02] Do we have test results without the Kapton tape for ESD.,Dec/14/2021 2:05 AM;5bd81045bd2c4c2de48b76b3;[~accountid:5cbe1c2dcf9b780e6a39fd1e] We had two units test in SZ lab with positive result. But same test failed in KCL. I believe because of probability. We plan to test more sample (10 units) in next ECN change,"Dec/20/2021 3:29 AM;5bd81045bd2c4c2de48b76b3;[~accountid:5cbe1c2dcf9b780e6a39fd1e] The cost saving is small ($0.027), as we discussed, the ticket will be closed no action [~accountid:5b523c3a628cd32ca1bee0ea] ",Dec/20/2021 9:26 AM;5b523c3a628cd32ca1bee0ea;Closing due to limited cost savings and limited resources to work on this.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-144,227677,"HD100 MP ORT Samples (Date code: 3821)_ABR Test_2/2 units (#958/#959), found the QR label unglued since 42nd cycle.

!image-2021-09-29-11-18-16-070.png|width=83.33333333333333%!

 ",,Other,,,,,HD100,"1. KCL and tape supplier both test the tape and no defect found 
2. Investigate the process risk and found in the early time, operator need to peel away tape manually and if the tape peel away in advance which have risk of contamination, it impact tape adhesive ","10/6 line have import automatic tape machine which can help operator to peel off tape, since that operator need not peel off tape in advance and tape will not be placed for long time and contaminated ","Sep/28/2021 11:27 PM;5be0519a741c7e2e7e9dae7b;[~accountid:5d5cf59ceb84cb0cfcc8ca6d] , [~accountid:5b7c1c9f10aacc58d3961949] , for this issue, need your support to look into whether the adhesive is different or label supplier changed?","Oct/08/2021 4:25 AM;5f6a9b86d33d7600774586a1;| |EB|MP|
|Tape supplier|智森|智森|
|Back glue supplier|广尔纳|广尔纳|

 

KCL IQA sample tape 3pcs/LOT, check recent record was OK

 

Tape adhesive specification

!1.jpg|width=622,height=118!

 

Tape test record

!2.jpg|width=220,height=296!

Simulation test with 3 kinds of sample, place into baking machine (70°, 2H) , will monitor and update the result

# Paste tape by contaminated finger 3pcs—no tape warp found
# Tape paste misalignment then re-paste again 3pcs-no tape warp found
# Paste tape move to end cap area*1pc, paste tape with one corner warped*2pcs-no tape warp found

!3.jpg|width=255,height=302!","Oct/12/2021 2:23 AM;5f6a9b86d33d7600774586a1;tape inventory temperature test OK

!image-20211012-023237.png|width=1062,height=422!

tape inventory abrasion test OK

!image-20211012-023449.png|width=1037,height=392!

RC: 

# KCL and tape supplier both test the tape and no defect found
# Investigate the process risk and found in the early time, operator need to peel away tape manually and if the tape peel away in advance which have risk of contamination, it impact tape adhesive

CA&PA: 

10/6 line have import automatic tape machine which can help operator to peel off tape, since that operator need not peel off tape in advance and tape will not be placed for long time and contaminated","Oct/12/2021 2:45 AM;5f6a9b86d33d7600774586a1;automatic tape machine 

!ApplicationFrameHost_C5vr7Gwh0D.png|width=25%!

SOP update 

!IMG_20211012_144110.jpg|width=33.33333333333333%!","Oct/12/2021 2:50 AM;5be0519a741c7e2e7e9dae7b;[~accountid:603ebe256a01a30069f7304d] , [~accountid:5b523c3a628cd32ca1bee0ea] , based on the below updates with SOP and machine picture, kindly please close this ticket. ","Oct/13/2021 3:54 PM;603ebe256a01a30069f7304d;!image-20211012-023449 (8fd6d017-8d45-4bdb-8b23-f8f3b9fd4829).png|width=1037,height=392!

[~accountid:5f6a9b86d33d7600774586a1] [~accountid:5be0519a741c7e2e7e9dae7b] could you please translate this, in addition did we verify that the stated changes solved the peeling problem.



cc [~accountid:5b523c3a628cd32ca1bee0ea] ","Oct/13/2021 8:51 PM;5be0519a741c7e2e7e9dae7b;[~accountid:5f6a9b86d33d7600774586a1] , can you help to translate it? ","Oct/13/2021 9:27 PM;5f6a9b86d33d7600774586a1;[~accountid:603ebe256a01a30069f7304d] [~accountid:5be0519a741c7e2e7e9dae7b] 

# it is test verification by tape supplier: after tape pasted, start to process abrasion test, test condition ( pressure 500g, 300 round cycle ,95% alcohol, EF74 type eraser ) , and no tape warp found after test, it shows current tape’s adhesive and material is meet the requirement.
# the introduced automatic machine can avoid operator peel tape in advance which means tape will have low risk of contamination ",Oct/15/2021 2:17 PM;603ebe256a01a30069f7304d;[~accountid:5b523c3a628cd32ca1bee0ea] & I are in alignment that ABR testing is a extreme case for the sticker to remain on the unit. Test mentioned by Webber shows reasonable endurance of component. With this test passing we are comfortable with the sticker peeling by end of ABR. Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-142,225484,"HD100 ECN SPC1068 With the newest SW BLDC-V1.5_Restricted Air Outlet Test_1/2 unit (#951), unit out of work after running 13 minutes with 100% restricted air outlet.
 [^video-20210918-074744-44671521.mp4] ",,Functionality,,,,,HD100,Non-ESD improved samples were tested + FW protection was disabled as the test was done at UL.,Latest ESD improved HW and protection enabled FW sample passed DQTP testing. ,"Oct/13/2021 4:03 PM;603ebe256a01a30069f7304d;Test was performed at UL, UL testing disables safety features which in turn lead to these failures. Non UL units passed these sane DQTP tests. Firmware 1.7 is in MP. Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-141,225479,"HD100 ECN for Diffuser change material PA66 to PA6_ 72'' Drop test_1/3unit (#454 ), Connector inner rib damaged at 3c/s.

!image-20220322-073159.png|width=304,height=205!



HD100 Diffuser for ultrasonic welding sample_36"" drop on ceramic floor_1 of 12 sample, found connector inner rib damaged @6th drop.
HD100 Diffuser for ultrasonic welding sample_36"" drop on hardwood floor_1 of 12 sample, found connector inner rib damaged @12th drop.

!image-20210918-135133.png|width=91.66666666666666%!",,Damage,,,,,HD100,The material becomes brittle after drying,material and ultrasonic welding improvement,Oct/13/2021 2:31 AM;5bd81045bd2c4c2de48b76b3;[~accountid:5be0519b8995b717bb1ba0c4] Can you sign people to work for the drop test issue?,"Oct/24/2021 10:29 AM;5be0519b8995b717bb1ba0c4;[~accountid:5bd81045bd2c4c2de48b76b3]  Please can we check the dimension in spec? and if missed radius.
Can we leverage KCL resource to analysis for OPT items, if dimension in spec, the action seems straight forward need to increase ribs strength. ",Nov/23/2021 1:57 PM;603ebe256a01a30069f7304d;[~accountid:5bdb3a42653a520f925abcf7] [~accountid:61131c64a539cb0068f7c5c1] please update us on what changes are being made,"Dec/05/2021 8:21 PM;61131c64a539cb0068f7c5c1;Change to high-power ultrasonic equipment, the connector of diffuser passed the drop test. Suggested to close this ticket.[~accountid:603ebe256a01a30069f7304d] Pls refer to attachment. [https://sharkninja.atlassian.net/browse/PCOPT-117|https://sharkninja.atlassian.net/browse/PCOPT-117|smart-link] ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-140,225478,"HD100 Diffuser for ultrasonic welding sample_36"" drop on ceramic floor_11 of 12 samples, found the outer base cracked/damaged since 3rd drop.
HD100 Diffuser for ultrasonic welding sample_36"" drop on hardwood floor_10 of 12 samples, found the outer base cracked/damaged since 1st drop.

!image-20210918-134445.png|width=83.33333333333333%!

!image-20210918-134506.png|width=75%!",,Damage,,,,,HD100,,,"Oct/13/2021 2:41 AM;5bd81045bd2c4c2de48b76b3;[~accountid:5cbe1c2dcf9b780e6a39fd1e] For Diffuser drop test, the most often failure is latch broken. Refer to ticket [https://sharkninja.atlassian.net/browse/PCOPT-143|https://sharkninja.atlassian.net/browse/PCOPT-143|smart-link]. We tested more than 50pcs sample, this is the first time to find outer cover broken. Normally we need add material to improve the broken. But the  probability is very very low, we don’t suggest to make change, please review and let’s know you comments",Oct/13/2021 10:05 AM;5cbe1c2dcf9b780e6a39fd1e;[~accountid:5bd81045bd2c4c2de48b76b3] This is something that PD must feedback on [~accountid:5b523c3a628cd32ca1bee0ea] ,"Oct/15/2021 2:57 PM;603ebe256a01a30069f7304d;[~accountid:5bd81045bd2c4c2de48b76b3] [~accountid:5b7c1c9f10aacc58d3961949] Has there been any changes to the design of the diffuser or are these samples different in anyway (regrind perhaps) that would make the accessory more likely to break in this way?

My concern is that if this is the first time we are seeing the issue then why does it occur twice. ",Oct/21/2021 4:59 AM;5b7c1c9f10aacc58d3961949;[~accountid:603ebe256a01a30069f7304d] As I remember this defect happened before and that’s why we issued DR KCL-V005 to accept. [~accountid:5be0519a741c7e2e7e9dae7b] pls double confirm.,Nov/18/2021 4:52 PM;5b523c3a628cd32ca1bee0ea;Can we add internal vertical ribs - would this help strengthen the part in the right way?,Nov/23/2021 1:58 PM;603ebe256a01a30069f7304d;[~accountid:61131c64a539cb0068f7c5c1] [~accountid:5bdb3a42653a520f925abcf7] please update us on possible solutions,Dec/20/2021 3:25 AM;5bd81045bd2c4c2de48b76b3;[~accountid:603ebe256a01a30069f7304d] The petals broken because of Inner/Outer housing detailed (PCOPT-143). Suggest close the ticket,Jul/05/2022 6:09 AM;5bd81045bd2c4c2de48b76b3;[~accountid:5b523c3a628cd32ca1bee0ea] Can you please review if we can close the ticket?,Sep/05/2022 4:11 AM;5bd81045bd2c4c2de48b76b3;[~accountid:5b523c3a628cd32ca1bee0ea] [~accountid:60abd10e411c220068270827] Can you please review if there is these kind complain from MKT?,"Nov/02/2022 1:29 AM;5bd81045bd2c4c2de48b76b3;[~accountid:60abd10e411c220068270827] Much appreciate if you can review if there is similar complain from user? If not, suggest move to hold as we don’t have solution","Oct/20/2023 2:15 AM;605be3516190aa0069d2c38e;[~accountid:615c5172d9820f0070af4d12] this ticket no action long time and we didn’t get complaint from customer , we suggest to close it, please review.","Oct/24/2023 8:28 PM;61818e0e3e3753006f79682b;aligned to close, no complaints",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,PCOPT-139,225451,"Tool mark is visible on inside of MP brush, seen in same spot in multiple samples. ",,,,,,,HD1XX,"Injection high speed, and bad venting","1.new insert, tooling venting optimization；2.injection progress optimization:The first stage of injection speed:15%->10%;The second stage of injection speed:32%->26%",Oct/13/2021 9:42 PM;61131c64a539cb0068f7c5c1;Add HQ improvement report.[~accountid:603ebe256a01a30069f7304d] can this ticket be closed?,"Oct/15/2021 2:58 PM;603ebe256a01a30069f7304d;Based on report provided by Kin, closing ticket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-138,224646,"HD100 ECN GB PCBA EB2_ABR_1/2 unit (#931), unit out of work @7.8H in high temperature/low flow setting [^video-20210914-020540-7e74a354.mp4] ",,Other,,,,,HD100,FW BUG,FW is updated to resolve this issue,"Nov/15/2021 11:21 AM;5d7913018b0e290c45aa2dd9;[~accountid:603ebe256a01a30069f7304d]  [~accountid:5b523c3a628cd32ca1bee0ea] , DQTP testing is completed with updated FW, the design is being released for MP. Similar issue as [https://sharkninja.atlassian.net/browse/PCOPT-146|https://sharkninja.atlassian.net/browse/PCOPT-146|smart-link]. ",Nov/23/2021 1:59 PM;603ebe256a01a30069f7304d;[~accountid:5d7913018b0e290c45aa2dd9] can you please provide the firmware version,"Nov/29/2021 7:29 AM;5d546aa43f5e050c17177d02;Attached Pre-MP ABR Test report, no this failure found.

[^HD100 ECN With GB PCBA Pre-MP ABR Test Report.xlsx]

",Jul/05/2022 6:08 AM;5bd81045bd2c4c2de48b76b3;[~accountid:5b523c3a628cd32ca1bee0ea] Can you please close the ticket as the issue solved by the latest SW?,Jul/11/2022 9:27 AM;5ece92c0c761b10c33e0989d;closing ticket based off of pre-MP ABR test report. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-137,224273,"HD100 ECN With ELE2001 Power Cord_Cord Wrap Test_3/3 samples, found the cord jacket wrinkled seriously during testing.
 !image-2021-09-13-09-57-44-568.png|thumbnail! 
HD100 ECN with ELE2001 power cord_ABR Test_2/2 samples, found the cord jacket wrinkled slightly after 50H ABR test.
 !image-2021-09-13-10-00-27-654.png|thumbnail! ",,Other,,,,,HD100,,,"Sep/12/2021 10:15 PM;5be0519a741c7e2e7e9dae7b;[~accountid:5d546aa43f5e050c17177d02] , as talked with you before, this special ELE2001 power cord is only feasibility tests, now we have no ECN for this. ","Sep/12/2021 10:26 PM;5be0519a741c7e2e7e9dae7b;[~accountid:5cbe1c2dcf9b780e6a39fd1e] , this special ELE2001 power cord cannot meet our request, and I had a quick test to twist 2~3times by hands also, this wrinkled issue cannot be recovered, so I think this will impact user give us a positive comments. 

So, I suggest we may on hold this ELE2001 cord development. 

now, I am pushing Bizlink develop a new/special cord, late I will share some information. ","Sep/15/2021 1:40 AM;5be0519a741c7e2e7e9dae7b;[~accountid:5cbe1c2dcf9b780e6a39fd1e] , for this ELE2001 cord, can you on hold this ticket?",Sep/23/2021 5:24 AM;5bd81045bd2c4c2de48b76b3;[~accountid:5cbe1c2dcf9b780e6a39fd1e] [~accountid:603ebe256a01a30069f7304d] We have no plan to implement ELE2001 cord. please close the item,Sep/24/2021 2:06 PM;603ebe256a01a30069f7304d;Cord will not be used in production. closed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-136,224269,"HD100 ECN GB PCBA_EB2_KCL Lab_Outlet Air Temperature_3/3 units, abnormal noise from motor after changing setting from high heat/high flow to medium heat/high flow for 3-7 minutes (completed running 10 minutes in high heat/high flow without any issue.)

!video-20210915-030215-b1095f67.mp4|width=288,height=640!



HD100 ECN GB PCBA_EB2_SN Lab_Restricted Air Outlet Test_1/3 unit (#932), found abnormal noise from motor after running 7 minutes with restricted air outlet 75% in high heat/high flow setting, then stopped testing.



HD100 ECN GB PCBA_EB2_KCL Lab_Unit Life Test_1/4 unit (#1), found abnormal noise and burning smell from motor after running 10 minutes in high heat/high flow setting.

!Unit out of work in ABR.mp4|width=224,height=480!



HD100 ECN GB PCBA_EB2_SN Lab_Restricted Air Inlet Test_1/3 unit (#933) , found abnormal noise and burning smell from motor after running 4H17Min with 10 terry clothes covered at air inlet area in high heat/high flow setting and found motor speed reduced then stopped with lower heat light flashing.

 

!video-20210914-061820-41af25ac (1).mp4|width=640,height=360!

HD100 ECN GB PCBA_EB2_SN Lab_Outlet air temperature_1/3 (#916), found abnormal noise and burning smell from motor after running 6 minutes in high heat/high flow setting and found the motor speed reduced then stopped with lower heat light flashing.

!video-20210913-010819-35f20dce.mov|width=360,height=640!



HD100 ECN GB PCBA_EB2_SN Lab_ABR_1/2 (#931), found abnormal noise and burning smell from motor after running 7 minutes in high heat/high flow setting and found the motor speed reduced then stopped with lower heat light flashing.

!video-20210911-013224-249c47bf.mp4|thumbnail!

 
HD100 ECN GB PCBA_EB2_SN Lab_NTT_1/3 unit, found abnormal noise and burning smell from motor after running 30 minutes in high heat/high flow setting and found the motor speed reduced then stopped with lower heat light flashing.",,Damage,,,,,HD100,Software used in EB2 changed freq to 25kHz from 40KHz causing inner coil to exceed max temp of 140C (172C),FW is updated to reduce the motor phase peak current - new max internal motor temperature is ~140C.,"Sep/11/2021 9:36 PM;5be0519a741c7e2e7e9dae7b;[~accountid:5d5cf59ceb84cb0cfcc8ca6d] , this abnormal motors, we can provide it to you and Jack Liu tomorrow morning. ","Sep/14/2021 6:05 AM;5be0519a741c7e2e7e9dae7b;[~accountid:5d5cf59ceb84cb0cfcc8ca6d] , as just talked with you, kindly please share your updates. ","Sep/14/2021 6:14 AM;5d5cf59ceb84cb0cfcc8ca6d;[~accountid:5be0519a741c7e2e7e9dae7b] [~accountid:5fc6eb47facfd6007634e0cf] KCL shared the both KCL and GB PCBA current / voltage wave performance, GB EB2 has has peak ~7.3A while KCL MP is ~4.7A. which may impact motor performance during lab testing.  @jack liu","Sep/14/2021 1:39 PM;5cbe1c2dcf9b780e6a39fd1e;[~accountid:5b7c1c9f10aacc58d3961949] Can you advise if any of these same tests have been completed on MP units as a part of ORT ? If yes, please share the status of the testing and if any similar failure was found on KCL MP design? We want to know if this issue could possible impact current MP. ",Sep/17/2021 4:01 AM;5b7c1c9f10aacc58d3961949;As I replied in mail， no  motor failed for 71pcs safe launch test MP units.,"Sep/25/2021 10:20 PM;5be0519a741c7e2e7e9dae7b;[~accountid:5fc6eb47facfd6007634e0cf] , [~accountid:5d7913018b0e290c45aa2dd9] ,kindly please update RCCA for the GB EB2 PCBA issue.","Oct/06/2021 1:48 PM;5d7913018b0e290c45aa2dd9;[~accountid:603ebe256a01a30069f7304d] , please review the RC and let me know if the explanation is insufficient. CN team will be conducting DQTP on EB3 (EB2 HW + updated motor control FW) after Golden Week Holiday.",Nov/15/2021 10:52 AM;5d7913018b0e290c45aa2dd9;[~accountid:5b523c3a628cd32ca1bee0ea] This issue can be closed - verified with pre-MP DQTP. ,Dec/20/2021 9:24 AM;5b523c3a628cd32ca1bee0ea;Closed per Minju’s and Inga’s comments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bug,PCOPT-135,223148,"HD100 INTL ECN OPT Design_Outlet Air Temperature Test_3/3 units (#22,#23,#24), outlet air temperature out of spec.
 !image-2021-09-08-11-41-19-114.png|thumbnail! ",,Performance,,,,,HD100INTL,Production line 100% calibration. But production line fixture have variation compare to lab fixture,current production line action: adjusted voltage valve method to compensation,Oct/13/2021 3:00 AM;5bd81045bd2c4c2de48b76b3;[~accountid:5cbe1c2dcf9b780e6a39fd1e] Production line 100% calibration during MP. But if the unit air temperature close to lower limit. It may happen out of spec issue  in lab because the fixture variation,Nov/23/2021 2:30 PM;603ebe256a01a30069f7304d;[~accountid:5d546aa43f5e050c17177d02] Can you explain the differenced between the top 5 hottest recordings & compensated temperature values.,Dec/20/2021 3:17 AM;5bd81045bd2c4c2de48b76b3;[~accountid:603ebe256a01a30069f7304d] Same issue as PCOPT-124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
